,ID,Gene,BC0,BC0-fun,BC1,BC1-fun,BC2,BC2-fun,BC3,BC3-fun,BC4,BC4-fun,PromIde,PromSeg,GeneIde,GeneSeg
0,BC-1.7.15,nrdD,BC-1,metabolism,BC-1.7,central intermediary metabolism,BC-1.7.15,2'-deoxyribonucleotide metabolism,NaN,None,NaN,None,3.67,0.215719064,2.28,0.116409537
1,BC-4.3.A.1.a,znuC,BC-4,transport,BC-4.3,Primary Active Transporters,BC-4.3.A,Pyrophosphate Bond (ATP; GTP; P2) Hydrolysis-driven Active Transporters,BC-4.3.A.1,The ATP-binding Cassette (ABC) Superfamily + ABC-type Uptake Permeases,BC-4.3.A.1.a,ABC superfamily ATP binding cytoplasmic component,0.83,0.06428571400000001,2.44,0.130952381
2,BC-4.3.A.1.a,proV,BC-4,transport,BC-4.3,Primary Active Transporters,BC-4.3.A,Pyrophosphate Bond (ATP; GTP; P2) Hydrolysis-driven Active Transporters,BC-4.3.A.1,The ATP-binding Cassette (ABC) Superfamily + ABC-type Uptake Permeases,BC-4.3.A.1.a,ABC superfamily ATP binding cytoplasmic component,2.18,0.09838998199999999,1.75,0.092269327
3,BC-4.3.A.1.a,metN,BC-4,transport,BC-4.3,Primary Active Transporters,BC-4.3.A,Pyrophosphate Bond (ATP; GTP; P2) Hydrolysis-driven Active Transporters,BC-4.3.A.1,The ATP-binding Cassette (ABC) Superfamily + ABC-type Uptake Permeases,BC-4.3.A.1.a,ABC superfamily ATP binding cytoplasmic component,0.96,0.079691517,1.76,0.11531007800000001
4,BC-4.3.A.1.a,ybbL,BC-4,transport,BC-4.3,Primary Active Transporters,BC-4.3.A,Pyrophosphate Bond (ATP; GTP; P2) Hydrolysis-driven Active Transporters,BC-4.3.A.1,The ATP-binding Cassette (ABC) Superfamily + ABC-type Uptake Permeases,BC-4.3.A.1.a,ABC superfamily ATP binding cytoplasmic component,1.44,0.097982709,2.23,0.140117994
5,BC-4.3.A.1.a,artP,BC-4,transport,BC-4.3,Primary Active Transporters,BC-4.3.A,Pyrophosphate Bond (ATP; GTP; P2) Hydrolysis-driven Active Transporters,BC-4.3.A.1,The ATP-binding Cassette (ABC) Superfamily + ABC-type Uptake Permeases,BC-4.3.A.1.a,ABC superfamily ATP binding cytoplasmic component,1.91,0.11933174199999999,1.1,0.08916323699999999
6,BC-4.3.A.1.am,cydD,BC-4,transport,BC-4.3,Primary Active Transporters,BC-4.3.A,Pyrophosphate Bond (ATP; GTP; P2) Hydrolysis-driven Active Transporters,BC-4.3.A.1,The ATP-binding Cassette (ABC) Superfamily + ABC-type Uptake Permeases,BC-4.3.A.1.am,"ABC superfamily, ATP binding and membrane component",1.92,0.086419753,2.43,0.129598189
7,BC-4.3.A.1.m,fepD,BC-4,transport,BC-4.3,Primary Active Transporters,BC-4.3.A,Pyrophosphate Bond (ATP; GTP; P2) Hydrolysis-driven Active Transporters,BC-4.3.A.1,The ATP-binding Cassette (ABC) Superfamily + ABC-type Uptake Permeases,BC-4.3.A.1.m,"ABC superfamily, membrane component",0.45,0.044871795,3.21,0.15721393
8,BC-4.3.A.1.p,modA,BC-4,transport,BC-4.3,Primary Active Transporters,BC-4.3.A,Pyrophosphate Bond (ATP; GTP; P2) Hydrolysis-driven Active Transporters,BC-4.3.A.1,The ATP-binding Cassette (ABC) Superfamily + ABC-type Uptake Permeases,BC-4.3.A.1.p,"ABC superfamily, periplasmic binding component",2.04,0.111111111,2.96,0.143410853
9,BC-4.3.A.1.p,malE,BC-4,transport,BC-4.3,Primary Active Transporters,BC-4.3.A,Pyrophosphate Bond (ATP; GTP; P2) Hydrolysis-driven Active Transporters,BC-4.3.A.1,The ATP-binding Cassette (ABC) Superfamily + ABC-type Uptake Permeases,BC-4.3.A.1.p,"ABC superfamily, periplasmic binding component",1.47,0.113074205,2.21,0.13434089
10,BC-4.3.A.1.p,hisJ,BC-4,transport,BC-4.3,Primary Active Transporters,BC-4.3.A,Pyrophosphate Bond (ATP; GTP; P2) Hydrolysis-driven Active Transporters,BC-4.3.A.1,The ATP-binding Cassette (ABC) Superfamily + ABC-type Uptake Permeases,BC-4.3.A.1.p,"ABC superfamily, periplasmic binding component",1.74,0.13270142199999999,2.28,0.126436782
11,BC-4.8.A,ptsH,BC-4,transport,BC-4.8,"ABC superfamily, periplasmic binding component",BC-4.8.A,Accessory Factors Involved in Transport,NaN,None,NaN,None,0.99,0.058119658,0.19,0.015503876000000002
12,BC-1.7.29,acs,BC-1,metabolism,BC-1.7,central intermediary metabolism,BC-1.7.29,acetate catabolism,NaN,None,NaN,None,1.1,0.095798319,2.57,0.130678918
13,BC-3.1.2.2,yneJ,BC-3,regulation,BC-3.1,type of regulation,BC-3.1.2,transcriptional level,BC-3.1.2.2,activator,NaN,None,3.76,0.17549668899999998,3.28,0.16553288
14,BC-3.1.2.2,uvrY,BC-3,regulation,BC-3.1,type of regulation,BC-3.1.2,transcriptional level,BC-3.1.2.2,activator,NaN,None,1.85,0.110441767,1.16,0.08828006099999999
15,BC-3.1.2.2,tyrR,BC-3,regulation,BC-3.1,type of regulation,BC-3.1.2,transcriptional level,BC-3.1.2.2,activator,NaN,None,1.09,0.091690544,3.24,0.177042802
16,BC-3.1.2.2,torR,BC-3,regulation,BC-3.1,type of regulation,BC-3.1.2,transcriptional level,BC-3.1.2.2,activator,NaN,None,1.68,0.099697885,2.59,0.138528139
17,BC-3.1.2.2,sxy,BC-3,regulation,BC-3.1,type of regulation,BC-3.1.2,transcriptional level,BC-3.1.2.2,activator,NaN,None,1.2,0.104761905,1.11,0.096825397
18,BC-3.1.2.2,soxS,BC-3,regulation,BC-3.1,type of regulation,BC-3.1.2,transcriptional level,BC-3.1.2.2,activator,NaN,None,1.13,0.06271777,2.33,0.12345679
19,BC-3.1.2.2,soxR,BC-3,regulation,BC-3.1,type of regulation,BC-3.1.2,transcriptional level,BC-3.1.2.2,activator,NaN,None,1.13,0.06271777,2.71,0.135483871
20,BC-3.1.2.2,sdiA,BC-3,regulation,BC-3.1,type of regulation,BC-3.1.2,transcriptional level,BC-3.1.2.2,activator,NaN,None,1.44,0.120689655,2.17,0.149377593
21,BC-3.1.2.2,rhaS,BC-3,regulation,BC-3.1,type of regulation,BC-3.1.2,transcriptional level,BC-3.1.2.2,activator,NaN,None,1.95,0.141104294,2.72,0.186379928
22,BC-3.1.2.2,rcsA,BC-3,regulation,BC-3.1,type of regulation,BC-3.1.2,transcriptional level,BC-3.1.2.2,activator,NaN,None,1.79,0.10483871,1.06,0.056089744000000004
23,BC-3.1.2.2,qseB,BC-3,regulation,BC-3.1,type of regulation,BC-3.1.2,transcriptional level,BC-3.1.2.2,activator,NaN,None,1.94,0.124645892,2.66,0.17121212100000002
24,BC-3.1.2.2,pspF,BC-3,regulation,BC-3.1,type of regulation,BC-3.1.2,transcriptional level,BC-3.1.2.2,activator,NaN,None,1.05,0.070652174,2.93,0.16359918199999998
25,BC-3.1.2.2,oxyR,BC-3,regulation,BC-3.1,type of regulation,BC-3.1.2,transcriptional level,BC-3.1.2.2,activator,NaN,None,1.23,0.06397306400000001,2.05,0.114379085
26,BC-3.1.2.2,ompR,BC-3,regulation,BC-3.1,type of regulation,BC-3.1.2,transcriptional level,BC-3.1.2.2,activator,NaN,None,0.72,0.04428904400000001,2.25,0.093055556
27,BC-3.1.2.2,melR,BC-3,regulation,BC-3.1,type of regulation,BC-3.1.2,transcriptional level,BC-3.1.2.2,activator,NaN,None,5.39,0.258264463,1.62,0.108910891
28,BC-3.1.2.2,malT,BC-3,regulation,BC-3.1,type of regulation,BC-3.1.2,transcriptional level,BC-3.1.2.2,activator,NaN,None,2.64,0.166060606,2.66,0.151515152
29,BC-3.1.2.2,lrp,BC-3,regulation,BC-3.1,type of regulation,BC-3.1.2,transcriptional level,BC-3.1.2.2,activator,NaN,None,0.63,0.060160427999999995,0.67,0.036363636
30,BC-3.1.2.2,leuO,BC-3,regulation,BC-3.1,type of regulation,BC-3.1.2,transcriptional level,BC-3.1.2.2,activator,NaN,None,3.68,0.18192219699999998,2.54,0.13836478
31,BC-3.1.2.2,ilvY,BC-3,regulation,BC-3.1,type of regulation,BC-3.1.2,transcriptional level,BC-3.1.2.2,activator,NaN,None,2.62,0.148148148,6.07,0.220357942
32,BC-3.1.2.2,ihfB,BC-3,regulation,BC-3.1,type of regulation,BC-3.1.2,transcriptional level,BC-3.1.2.2,activator,NaN,None,0.12,0.013850416,0.32,0.01754386
33,BC-3.1.2.2,hns,BC-3,regulation,BC-3.1,type of regulation,BC-3.1.2,transcriptional level,BC-3.1.2.2,activator,NaN,None,1.42,0.10408921900000001,0.78,0.065217391
34,BC-3.1.2.2,glcC,BC-3,regulation,BC-3.1,type of regulation,BC-3.1.2,transcriptional level,BC-3.1.2.2,activator,NaN,None,1.37,0.086092715,1.71,0.116339869
35,BC-3.1.2.2,gcvA,BC-3,regulation,BC-3.1,type of regulation,BC-3.1.2,transcriptional level,BC-3.1.2.2,activator,NaN,None,0.6,0.036363636,1.76,0.10348583900000001
36,BC-3.1.2.2,gadE,BC-3,regulation,BC-3.1,type of regulation,BC-3.1.2,transcriptional level,BC-3.1.2.2,activator,NaN,None,1.86,0.12815534,1.88,0.130681818
37,BC-3.1.2.2,fnr,BC-3,regulation,BC-3.1,type of regulation,BC-3.1.2,transcriptional level,BC-3.1.2.2,activator,NaN,None,1.32,0.10353535400000001,1.27,0.071713147
38,BC-3.1.2.2,fadR,BC-3,regulation,BC-3.1,type of regulation,BC-3.1.2,transcriptional level,BC-3.1.2.2,activator,NaN,None,1.48,0.089411765,1.71,0.08611111099999999
39,BC-3.1.2.2,cytR,BC-3,regulation,BC-3.1,type of regulation,BC-3.1.2,transcriptional level,BC-3.1.2.2,activator,NaN,None,3.23,0.11634349,1.89,0.115646259
40,BC-3.1.2.2,cusR,BC-3,regulation,BC-3.1,type of regulation,BC-3.1.2,transcriptional level,BC-3.1.2.2,activator,NaN,None,1.9,0.10055865900000001,2.94,0.143274854
41,BC-3.1.2.2,csgD,BC-3,regulation,BC-3.1,type of regulation,BC-3.1.2,transcriptional level,BC-3.1.2.2,activator,NaN,None,2.65,0.188541667,1.7,0.11827957
42,BC-3.1.2.2,crp,BC-3,regulation,BC-3.1,type of regulation,BC-3.1.2,transcriptional level,BC-3.1.2.2,activator,NaN,None,0.66,0.059642147,1.02,0.07266982599999999
43,BC-3.1.2.2,cbl,BC-3,regulation,BC-3.1,type of regulation,BC-3.1.2,transcriptional level,BC-3.1.2.2,activator,NaN,None,1.9,0.181518152,2.18,0.177707676
44,BC-3.1.2.2,caiF,BC-3,regulation,BC-3.1,type of regulation,BC-3.1.2,transcriptional level,BC-3.1.2.2,activator,NaN,None,2.01,0.129310345,1.78,0.09848484800000001
45,BC-3.1.2.2,cadC,BC-3,regulation,BC-3.1,type of regulation,BC-3.1.2,transcriptional level,BC-3.1.2.2,activator,NaN,None,2.26,0.141921397,1.51,0.12800519800000001
46,BC-3.1.2.2,bolA,BC-3,regulation,BC-3.1,type of regulation,BC-3.1.2,transcriptional level,BC-3.1.2.2,activator,NaN,None,1.26,0.086956522,0.63,0.053459119000000006
47,BC-3.1.2.2,asnC,BC-3,regulation,BC-3.1,type of regulation,BC-3.1.2,transcriptional level,BC-3.1.2.2,activator,NaN,None,1.89,0.11048158599999999,2.22,0.122004357
48,BC-3.1.2.2,argR,BC-3,regulation,BC-3.1,type of regulation,BC-3.1.2,transcriptional level,BC-3.1.2.2,activator,NaN,None,0.75,0.061320755,1.34,0.089171975
49,BC-3.1.2.2,arcA,BC-3,regulation,BC-3.1,type of regulation,BC-3.1.2,transcriptional level,BC-3.1.2.2,activator,NaN,None,1.31,0.096505824,0.18,0.021276596000000002
50,BC-3.1.2.2,araC,BC-3,regulation,BC-3.1,type of regulation,BC-3.1.2,transcriptional level,BC-3.1.2.2,activator,NaN,None,1.0,0.068518519,2.42,0.121729238
51,BC-3.1.2.2,ada,BC-3,regulation,BC-3.1,type of regulation,BC-3.1.2,transcriptional level,BC-3.1.2.2,activator,NaN,None,3.49,0.174545455,4.48,0.224413146
52,BC-1.6.15.4,acpP,BC-1,metabolism,BC-1.6,biosynthesis of macromolecules (cellular constituents),BC-1.6.15,large molecule carriers,BC-1.6.15.4,acyl carrier protein,NaN,None,0.13,0.012135922,0.0,0.0
53,BC-5.5,uspA,BC-5,cell processes,BC-5.5,adaptations,NaN,None,NaN,None,NaN,None,0.6,0.043918919,1.32,0.094252874
54,BC-5.5,hepA,BC-5,cell processes,BC-5.5,adaptations,NaN,None,NaN,None,NaN,None,0.73,0.06284153,2.27,0.12039903699999999
55,BC-5.5,mreB,BC-5,cell processes,BC-5.5,adaptations,NaN,None,NaN,None,NaN,None,0.65,0.043478261,1.36,0.095785441
56,BC-5.5,loiP,BC-5,cell processes,BC-5.5,adaptations,NaN,None,NaN,None,NaN,None,0.8,0.054279749,3.22,0.17654809
57,BC-5.5,iraP,BC-5,cell processes,BC-5.5,adaptations,NaN,None,NaN,None,NaN,None,2.82,0.18918918899999998,1.85,0.09195402300000001
58,BC-5.5,bhsA,BC-5,cell processes,BC-5.5,adaptations,NaN,None,NaN,None,NaN,None,1.28,0.09954751099999999,1.33,0.07751938
59,BC-5.5,acrZ,BC-5,cell processes,BC-5.5,adaptations,NaN,None,NaN,None,NaN,None,0.85,0.072727273,0.29,0.026666667
60,BC-1.3.6,sdhC,BC-1,metabolism,BC-1.3,"energy metabolism, carbon",BC-1.3.6,aerobic respiration,NaN,None,NaN,None,0.78,0.05360134,0.6,0.046153846
61,BC-1.3.6,nuoA,BC-1,metabolism,BC-1.3,"energy metabolism, carbon",BC-1.3.6,aerobic respiration,NaN,None,NaN,None,2.88,0.177458034,0.7,0.047297297
62,BC-1.3.6,glpD,BC-1,metabolism,BC-1.3,"energy metabolism, carbon",BC-1.3.6,aerobic respiration,NaN,None,NaN,None,0.86,0.071611253,3.58,0.164674635
63,BC-1.3.6,frsA,BC-1,metabolism,BC-1.3,"energy metabolism, carbon",BC-1.3.6,aerobic respiration,NaN,None,NaN,None,1.62,0.098639456,2.44,0.13988809
64,BC-1.3.6,dld,BC-1,metabolism,BC-1.3,"energy metabolism, carbon",BC-1.3.6,aerobic respiration,NaN,None,NaN,None,1.23,0.068010076,2.69,0.14743589699999998
65,BC-1.3.6,cyoA,BC-1,metabolism,BC-1.3,"energy metabolism, carbon",BC-1.3.6,aerobic respiration,NaN,None,NaN,None,3.08,0.157657658,0.87,0.052246604
66,BC-4.1.A,glpF,BC-4,transport,BC-4.1,Channel-type Transporters,BC-4.1.A,alpha-type channels,NaN,None,NaN,None,0.52,0.039808917,1.13,0.069739953
67,BC-1.1.4,nagE,BC-1,metabolism,BC-1.1,carbon utilization,BC-1.1.4,amines,NaN,None,NaN,None,0.58,0.051660517,2.5,0.124293785
68,BC-1.1.4,caiF,BC-1,metabolism,BC-1.1,carbon utilization,BC-1.1.4,amines,NaN,None,NaN,None,2.01,0.129310345,1.78,0.09848484800000001
69,BC-2.3.1,proS,BC-2,information transfer,BC-2.3,protein related,BC-2.3.1,amino acid -activation,NaN,None,NaN,None,0.81,0.060702875,1.91,0.10936591
70,BC-2.3.1,metG,BC-2,information transfer,BC-2.3,protein related,BC-2.3.1,amino acid -activation,NaN,None,NaN,None,0.26,0.035928144,2.78,0.146509341
71,BC-2.3.1,hisS,BC-2,information transfer,BC-2.3,protein related,BC-2.3.1,amino acid -activation,NaN,None,NaN,None,0.92,0.054487179000000004,1.56,0.08549019599999999
72,BC-2.3.1,glyQ,BC-2,information transfer,BC-2.3,protein related,BC-2.3.1,amino acid -activation,NaN,None,NaN,None,0.67,0.033670034,1.02,0.0625
73,BC-2.3.1,gltX,BC-2,information transfer,BC-2.3,protein related,BC-2.3.1,amino acid -activation,NaN,None,NaN,None,0.56,0.045652174000000004,2.24,0.116525424
74,BC-2.3.1,argS,BC-2,information transfer,BC-2.3,protein related,BC-2.3.1,amino acid -activation,NaN,None,NaN,None,1.33,0.117505995,2.22,0.11476355199999999
75,BC-1.7.13,aspA,BC-1,metabolism,BC-1.7,central intermediary metabolism,BC-1.7.13,amino acid conversion,NaN,None,NaN,None,0.84,0.053903346,0.7,0.052192067
76,BC-1.1.3,putA,BC-1,metabolism,BC-1.1,carbon utilization,BC-1.1.3,amino acids,NaN,None,NaN,None,0.93,0.058139535,2.97,0.152409791
77,BC-1.1.3,purR,BC-1,metabolism,BC-1.1,carbon utilization,BC-1.1.3,amino acids,NaN,None,NaN,None,0.94,0.066,1.86,0.10331384
78,BC-1.1.3,metB,BC-1,metabolism,BC-1.1,carbon utilization,BC-1.1.3,amino acids,NaN,None,NaN,None,2.35,0.09205020900000001,2.09,0.108527132
79,BC-1.1.3,glyA,BC-1,metabolism,BC-1.1,carbon utilization,BC-1.1.3,amino acids,NaN,None,NaN,None,1.15,0.093632959,1.71,0.09569378
80,BC-1.1.3,gcvT,BC-1,metabolism,BC-1.1,carbon utilization,BC-1.1.3,amino acids,NaN,None,NaN,None,3.56,0.146341463,2.26,0.115981735
81,BC-1.1.3,gcvR,BC-1,metabolism,BC-1.1,carbon utilization,BC-1.1.3,amino acids,NaN,None,NaN,None,0.55,0.034482759,1.32,0.09075043599999999
82,BC-1.1.3,gcvA,BC-1,metabolism,BC-1.1,carbon utilization,BC-1.1.3,amino acids,NaN,None,NaN,None,0.6,0.036363636,1.76,0.10348583900000001
83,BC-1.1.3,dadA,BC-1,metabolism,BC-1.1,carbon utilization,BC-1.1.3,amino acids,NaN,None,NaN,None,0.9,0.069679849,2.41,0.127790608
84,BC-1.1.3,cadC,BC-1,metabolism,BC-1.1,carbon utilization,BC-1.1.3,amino acids,NaN,None,NaN,None,2.26,0.141921397,1.51,0.12800519800000001
85,BC-1.7.12,nanA,BC-1,metabolism,BC-1.7,central intermediary metabolism,BC-1.7.12,amino sugar conversions,NaN,None,NaN,None,1.45,0.083076923,2.89,0.137583893
86,BC-1.7.12,nagE,BC-1,metabolism,BC-1.7,central intermediary metabolism,BC-1.7.12,amino sugar conversions,NaN,None,NaN,None,0.58,0.051660517,2.5,0.124293785
87,BC-1.7.12,nagB,BC-1,metabolism,BC-1.7,central intermediary metabolism,BC-1.7.12,amino sugar conversions,NaN,None,NaN,None,0.58,0.051660517,1.38,0.084893883
88,BC-1.3.7,torR,BC-1,metabolism,BC-1.3,"energy metabolism, carbon",BC-1.3.7,anaerobic respiration,NaN,None,NaN,None,1.68,0.099697885,2.59,0.138528139
89,BC-1.3.7,torC,BC-1,metabolism,BC-1.3,"energy metabolism, carbon",BC-1.3.7,anaerobic respiration,NaN,None,NaN,None,1.68,0.099697885,1.86,0.109974425
90,BC-1.3.7,pflA,BC-1,metabolism,BC-1.3,"energy metabolism, carbon",BC-1.3.7,anaerobic respiration,NaN,None,NaN,None,0.31,0.022900762999999998,2.02,0.10526315800000001
91,BC-1.3.7,nuoA,BC-1,metabolism,BC-1.3,"energy metabolism, carbon",BC-1.3.7,anaerobic respiration,NaN,None,NaN,None,2.88,0.177458034,0.7,0.047297297
92,BC-1.3.7,nrfA,BC-1,metabolism,BC-1.3,"energy metabolism, carbon",BC-1.3.7,anaerobic respiration,NaN,None,NaN,None,1.1,0.095798319,1.73,0.10090466199999999
93,BC-1.3.7,nirB,BC-1,metabolism,BC-1.3,"energy metabolism, carbon",BC-1.3.7,anaerobic respiration,NaN,None,NaN,None,2.43,0.149028078,1.94,0.10259434
94,BC-1.3.7,napF,BC-1,metabolism,BC-1.3,"energy metabolism, carbon",BC-1.3.7,anaerobic respiration,NaN,None,NaN,None,0.78,0.051612902999999995,1.52,0.096969697
95,BC-1.3.7,menA,BC-1,metabolism,BC-1.3,"energy metabolism, carbon",BC-1.3.7,anaerobic respiration,NaN,None,NaN,None,0.79,0.026119403,1.96,0.110032362
96,BC-1.3.7,hybO,BC-1,metabolism,BC-1.3,"energy metabolism, carbon",BC-1.3.7,anaerobic respiration,NaN,None,NaN,None,0.55,0.040920716,1.98,0.105451296
97,BC-1.3.7,grcA,BC-1,metabolism,BC-1.3,"energy metabolism, carbon",BC-1.3.7,anaerobic respiration,NaN,None,NaN,None,2.45,0.118577075,1.28,0.059895832999999996
98,BC-1.3.7,frdA,BC-1,metabolism,BC-1.3,"energy metabolism, carbon",BC-1.3.7,anaerobic respiration,NaN,None,NaN,None,0.93,0.057034220999999996,1.31,0.07075732400000001
99,BC-1.3.7,fnr,BC-1,metabolism,BC-1.3,"energy metabolism, carbon",BC-1.3.7,anaerobic respiration,NaN,None,NaN,None,1.32,0.10353535400000001,1.27,0.071713147
100,BC-1.3.7,fdnG,BC-1,metabolism,BC-1.3,"energy metabolism, carbon",BC-1.3.7,anaerobic respiration,NaN,None,NaN,None,1.92,0.143187067,2.25,0.294001967
101,BC-1.3.7,dmsA,BC-1,metabolism,BC-1.3,"energy metabolism, carbon",BC-1.3.7,anaerobic respiration,NaN,None,NaN,None,1.14,0.079545455,2.67,0.138650307
102,BC-1.3.7,dcuS,BC-1,metabolism,BC-1.3,"energy metabolism, carbon",BC-1.3.7,anaerobic respiration,NaN,None,NaN,None,3.12,0.259162304,2.71,0.204044118
103,BC-2.2.7,ryhB,BC-2,information transfer,BC-2.2,RNA related,BC-2.2.7,antisense RNA,NaN,None,NaN,None,1.36,0.091743119,0.14,0.011111111000000002
104,BC-2.2.7,mgrR,BC-2,information transfer,BC-2.2,RNA related,BC-2.2.7,antisense RNA,NaN,None,NaN,None,2.0,0.125506073,0.52,0.051020407999999996
105,BC-2.2.7,hfq,BC-2,information transfer,BC-2.2,RNA related,BC-2.2.7,antisense RNA,NaN,None,NaN,None,0.32,0.031358885,0.42,0.022653722
106,BC-2.2.7,dsrA,BC-2,information transfer,BC-2.2,RNA related,BC-2.2.7,antisense RNA,NaN,None,NaN,None,3.18,0.194029851,0.6,0.056818182
107,BC-3.1.3.6,ryhB,BC-3,regulation,BC-3.1,type of regulation,BC-3.1.3,posttranscriptional,BC-3.1.3.6,antisense RNA,NaN,None,1.36,0.091743119,0.14,0.011111111000000002
108,BC-3.1.3.6,mgrR,BC-3,regulation,BC-3.1,type of regulation,BC-3.1.3,posttranscriptional,BC-3.1.3.6,antisense RNA,NaN,None,2.0,0.125506073,0.52,0.051020407999999996
109,BC-3.1.3.6,hfq,BC-3,regulation,BC-3.1,type of regulation,BC-3.1.3,posttranscriptional,BC-3.1.3.6,antisense RNA,NaN,None,0.32,0.031358885,0.42,0.022653722
